Project ID,Project Name,Project type,Project website,Area of Society,DSI Areas,Social Impact,Technology Focus,Technology method,Timestamp ID,Date and Time
f48138ee-336f-23f6-8c56-c4c3c6ff9b1d,vicini di casa (Neighbours),network,www.vicinidicasa.co,"education and skills, neighbourhood regeneration, finance and economy, work and employment, participation and democracy","new ways of making, open democracy, collaborative economy, awareness networks","We want to achieve in the longer term the active citizen participation in decision making, collective governance (including global Internet governance), new democracy models self-regulation, new business and economic models for a more competitive and influential Europe. To nurture and enhance the extraordinary human, cultural and material richness to ensure a high quality standard of living in Europe, to reaffirm the effectiveness of citizens primacy and territories on policy, thorough subsidiarity and sustainability.","open data, open networks","social networks, big data, p2p   distributed exchange networks, online peer support, online notice board, online market place",428b3ab9-3b0d-ba1b-313f-b1716a0b82a2,
9b3ef5c2-b7ec-537f-fb76-4d442809c8cb,Eventor,education and training,www.eventor.info,"co working, social innovations, community networks, business, community projects, social impact, culture and arts, environmental protection, education and kills, participation and democracy","open access, new ways of making, awareness networks","Connection young people (students) with different opportunities around the world such as: scholarships Ba, Ma, Phd, Conferences, Internships, Fellowships.","open data, open networks, open hardware, open knowledge","social networks, crowdfunding, online peer support, personal monitoring, crowdsourcing, open knowledge",ee7bbe8f-8ab6-4417-b256-0102c87cfe86,10/1/2014
258401ed-30e8-ca8e-cee6-c8671b1409d6,GeoVation,investment and funding,www.geovation.org.uk,"health and wellbeing, energy and environment, neighbourhood regeneration, education and skills, work and employment",funding acceleration and incubation,"GeoVation is Ordnance Surveys open innovation programme that challenges communities to generate innovative ideas to solve problems, using geography, against a specified challenge. These challenges are open to entrepreneurs, developers, community groups, government and individuals. 

The challenges have focused on building local resilience within communities and real problems that require collaboration and innovative thinking across all sectors of the economy.

The Challenge process encourages the use of open data and other data products and services in the development of new ventures that will generate social, economic and environmental value.
",open data,"open source, open data, crowdsourcing, geotagging, crowdmapping, digital mapping",1b5da9f3-ef0b-0afb-b40e-da0a708089a6,
4fe08cc2-f383-cd14-e8e8-c9a03d07fb81,SmartUJI,research project,smart.uji.es,"university research, smart cities","new ways of making, collaborative economy","our smart campus project has been featured at seminars and conferences from University of California Santa Barbara, to AGILE conference in Europe, to Esri Middle East Conference Kuwait.","open knowledge, open networks",a platform for multiple projects to be integrated and tested on campus,b0fffd50-d176-201a-bf1d-cff4071579fe,12/1/2018
29bf90de-95ac-a8cd-871a-f4ed808e34c0,Data Transparency,education and training,,"participation and democracy, energy and environemtn, science","awareness networks, new ways of making, open access",Awareness on the quality of water ,"open data, open knowledge","citizen sciences, citizen participation, crowdsourcing, sensors and internet of things",31579eaf-96f1-a2f7-ebb7-d01ae2767f0b,
a6dba555-923f-5d95-0c50-408c24b28edf,essa4students,delivering a web service,essay4students.com,education and skills,open democracy,Education,open networks,open data,ea88c3d6-fa91-908a-282f-976fa9a80129,3/1/2016
30f40a82-8ea3-4224-ddc6-d8d8028e1731,Cleanweb,delivering a web service,cleanweb.co,energy and environment,"awareness networks, new ways of making","We are a member-driven organization composed of developers, entrepreneurs, investors, and enterprises large and small who believe that the growing web of information technologies may be our most powerful - and profitable - tool to improve global sustainability, economic prosperity, and human well being.","open networks, open knowledge","social networks, online peer support, crowdmapping",46ed5f54-3bab-d7b7-051c-0f6fe890d688,
e93c7f90-1f58-8856-2abe-3ddf1030f676,"Tunisie Bondy Blog, a journalism school by the citizen",education and training,,"culture and arts, energy and environment, participation and democracy, work and employment, education and skills","open democracy, funding acceleration and incubation, awareness networks","active citizenship, helps projects management and communication ",open knowledge,social media,8496b101-acd1-34dc-4329-8419ffbbdc2b,
92df854d-440e-3d98-7a1c-75c296442e0b,University-Community Links,research project,www.5DDAugsburg.de,participatory action research,"open access, new ways of making, awareness networks, open democracy","access to quality education, international exchange, 2.Bildungsweg (in Germany)","open networks, open data, open knowledge",microgenetic analysis,e761aa11-4df2-0dea-078a-7e20aa0418be,
6d9207f3-182b-02fe-6452-3b8552bd08b9,Teach First Alumni Community,network,,"participation and democracy, social change, education and skills, social impact, work and employment","open access, open democracy","Based on the succes of the platform, Teach First has already introduced new user groups to the platform - meaning there are even more opportunities to connect.

Because users can generate their own content, the community can share more opportunities for collaboration.",open networks,"php, online community, web development, drupal, open source, solr search, programming, event integration",fce81d43-8548-4aff-fba9-daf9a8e7576d,
